job_id,job_title,final_category
c73ed352ab1893e9,Principal (Director) Data Science Consultant Practice Lead,Data Scientist
b6d69309c04c90a0,Senior project manager (cloud),Project Manager
2423281046c56d13,"Senior Cyber Threat Intelligence Consultant, Mandiant (English, Arabic)",Cybersecurity Analyst
acf56c3f6b4c91d4,Drilling Engineer,Drilling Engineer
cc742edadf39b07f,Population Health Strategy Manager,Population Health Manager
26ebacd29cbbebef,O&M infrastructure Engineer,Systems Administrator
fdb086becb1b7b96,"Data & Insights Manager - Sport, Entertainment & Culture",Data Scientist
7c4d1111b3e1d715,AI Developer,AI Engineer
0a181f934c744830,Risk Manager,Risk Manager
b67c2cb065e6e694,Premier Technical Support Specialist,IT Support Specialist
ca73da09dd12e1e3,Procurement Manager,Procurement Manager
b9af94bcc4514eff,Future City Thinker,Urban Planner
ede2a170efeffad3,Payroll & Compliance Lead,Payroll Specialist
d6b215ae34f5fa68,Senior UX Designer,UX Designer
84f35ac509fb83b6,Engineering Licensing Manager - Qureos,Licensing Manager
b89e2fc3a113ddbf,Manufacturing Specialist,Solution Architect
6ef3c9d72c863500,Production Planner - Food & Beverage | Saudi Arabia,Production Planner
4fa811e2d14410b6,Advanced Excel Specialist (Form Creation),Excel Specialist
97e7a519046a6e0c,Data Engineer,Data Engineer
83fe078cb5a28e39,UI/UX - Customer Experience (CX) Specialist,UX Designer
0d9029049a45382d,Data Engineer,Data Engineer
55c1da571b2d4cc1,IT Support Specialist,IT Support Specialist
4125370e746b84d6,Customer Development Consultant,Business Development Manager
bd0b5b091448fa83,مهندس تخطيط أول / senior planning engineer,Planning Engineer
c45ede35023a31d5,Senior Director - Enterprise Architecture,Enterprise Architect
166d8076e16e64ae,Construction Manager,Construction Manager
21072c1432d7f3e6,Senior Embedded Software Engineer,Embedded Software Engineer
5ca5d3532b80c6b9,Sales Engineer - Electrical & Instrumentation,Sales Engineer
40a1e816656cdc45,Senior Quantum Algorithm Developer - Optimization Saudi Arabia,Quantum Algorithm Developer
553a43facba3b012,"Senior Systems Software Engineer (Riyadh, KSA)",Systems Software Engineer
8b42453f43b19dd2,Senior Technical Account Manager - Middle East,Technical Account Manager
c0199cc37c731c1e,Principle Project Manager,Project Manager
bfc10482367f6520,Client Delivery Specialist (Project Based),Project Manager
dc0543215e198776,Sr. Customer Success Manager,Customer Success Manager
fba4653ee2f5c780,Services Sales Manager,Sales Manager
449c2df99da7df5f,Site Engineer,Site Engineer
