job_id,job_title,company,location,sector,category,certainty
c73ed352ab1893e9,Principal (Director) Data Science Consultant Practice Lead,"EPAM Systems, Inc.",Al Khobar,Technology & IT,Data Scientist,high
77a038467f741edd,Data Products Specialist,Datamatics Technologies,Riyadh,Technology & IT,Data Product Analyst,high
b6d69309c04c90a0,Senior project manager (cloud),Master-Works,Riyadh,Technology & IT,Project Manager,high
2423281046c56d13,"Senior Cyber Threat Intelligence Consultant, Mandiant (English, Arabic)",Google,Saudi Arabia,Technology & IT,Cybersecurity Analyst,high
50ee957c5f397bdb,Finance Business Partner - Middle East and Africa,Dexcom,Riyadh,Finance & Accounting,Financial Analyst,high
2d1c74ddf11baa92,Enterprise Sales Lead – Saudi Arabia,NTT Ltd,Riyadh,Sales & Business Development,Sales Manager,high
acf56c3f6b4c91d4,Drilling Engineer,Aramco,Saudi Arabia,"Energy, Oil & Gas",Drilling Engineer,high
cc742edadf39b07f,Population Health Strategy Manager,Sanofi,Riyadh,Healthcare & Medical,Population Health Manager,high
26ebacd29cbbebef,O&M infrastructure Engineer,Giza Systems EG,Riyadh,Technology & IT,Systems Administrator,high
f64748499fd604d2,Corporate Account Executive - Saudi Arabia (Remote),CrowdStrike,Saudi Arabia,Sales & Business Development,Account Executive,high
300c6332db4a5526,Front-End Developer,Datamatics Technologies,Riyadh,Technology & IT,Frontend Developer,high
fdb086becb1b7b96,"Data & Insights Manager - Sport, Entertainment & Culture",Burson Global,Riyadh,"Marketing, Advertising & PR",Data Scientist,medium
7c4d1111b3e1d715,AI Developer,Datamatics Technologies,Riyadh,Technology & IT,AI Engineer,high
16e49d60dd62afcc,Power BI Developer,Datamatics Technologies,Riyadh,Technology & IT,Power BI Developer,high
0f171a2fb2a0f5f1,SOC Incident Response Lead,KAUST,Saudi Arabia,Technology & IT,Cybersecurity Analyst,high
9a22f464a739cf1c,"Associate Analyst, Business Development - MAIP, Launch Graduate Program 2026 – Riyadh, Saudi Arabia",Mastercard,Riyadh,Sales & Business Development,Business Development Manager,medium
c67fcf4881e9099c,Project and Automation Engineer,ETAP,Dhahran,Technology & IT,Automation Engineer,high
8bec70a603b913c7,Solution Sales Expert - HCM,SAP,Riyadh,Sales & Business Development,Account Manager,high
70a3ecb60399a1c0,"Manager, Solutions Consulting",Adobe,Riyadh,Consulting & Professional Services,Solutions Consultant Manager,high
0a181f934c744830,Risk Manager,Parsons,Riyadh,Consulting & Professional Services,Risk Manager,high
b67c2cb065e6e694,Premier Technical Support Specialist,Lenovo,Riyadh,Technology & IT,IT Support Specialist,high
d315c0bb85ea2813,Senior Premier Technical Support Specialist,Lenovo,Riyadh,Technology & IT,IT Support Specialist,high
ca73da09dd12e1e3,Procurement Manager,Matar Al Baqmi Holding Company,Dammam,"Logistics, Supply Chain & Procurement",Procurement Manager,high
a1cce87ba3c6f978,Expert Procurement Solution Advisory,SAP,Riyadh,"Logistics, Supply Chain & Procurement",Procurement Consultant,high
545e78130adabede,Lead QC&HSE Engineer,Yokogawa,Al Khobar,Manufacturing & Production,Quality Control Engineer,high
e8d33deb90d890bd,"Data Center Engineer/Technician (Saudi National Only), Data Center Operations, AWS",Data Services Saudi Arabia Limited One Person Company,Riyadh,Technology & IT,IT Support Specialist,medium
b9af94bcc4514eff,Future City Thinker,AtkinsRéalis,Riyadh,Consulting & Professional Services,Urban Planner,high
ede2a170efeffad3,Payroll & Compliance Lead,Proservartner,Riyadh,Human Resources & Recruitment,Payroll Specialist,high
d69261ef1c7d1c3d,Project Controls Engineer,Omada Rail Systems,Dammam,Engineering,Project Controls Engineer,high
245e2f49dd286be2,Partner Technical Lead - Middle East,NetApp,Saudi Arabia,Technology & IT,Technical Trainer,medium
29932a57f370da4a,Business Development Specialist - Transaction & Execution,Aramco,Saudi Arabia,Sales & Business Development,Business Development Manager,high
26bae589a694aa6c,Facility Specialist – Warehouse Operations,Beckman Coulter Diagnostics,Riyadh,"Logistics, Supply Chain & Procurement",Facilities Manager,high
5530e01d14f3efe0,Analyst - Governance (MAS7),Qiddiya Investment Company,Riyadh,Legal & Compliance,Compliance Officer,high
d6b215ae34f5fa68,Senior UX Designer,Foodics,Riyadh,"Creative, Design & Arts",UX Designer,high
d79b17ec22382653,Account Executive,Infobip Ltd,Riyadh,Sales & Business Development,Account Executive,high
eeb9122979b9c7a7,Soil Quality Expert,Proven,Riyadh,Agriculture & Environment,Soil Scientist,high
10fc20e911ff576a,Project Controls Engineer,Egis Group,Dammam,Engineering,Project Controls Engineer,high
84f35ac509fb83b6,Engineering Licensing Manager - Qureos,Qureos Inc,Riyadh,Engineering,Licensing Manager,medium
63b960c8bf4ea1af,Licensing Department Manager - Almnabr,Qureos Inc,Riyadh,Legal & Compliance,Compliance Officer,high
b89e2fc3a113ddbf,Manufacturing Specialist,Mindsets,Riyadh,Manufacturing & Production,Solution Architect,high
1fcc4e98dd3f518d,PMIS Functional Specialist ( Project Controls ) ( Saudi National),Parsons,Riyadh,Construction & Architecture,Project Controls Specialist,high
367045d7e38019c4,Head of Fan Activation - Sports Studio - KSA,Globant,Riyadh,"Marketing, Advertising & PR",CRM Manager,high
6ef3c9d72c863500,Production Planner - Food & Beverage | Saudi Arabia,Rawaj - Human Capital Management,Riyadh,Manufacturing & Production,Production Planner,high
11285ab1f02862c9,"Jr. Specialist, 3PL Services",iHerb,Riyadh,"Logistics, Supply Chain & Procurement",Logistics Coordinator,high
4fa811e2d14410b6,Advanced Excel Specialist (Form Creation),Petroraq Engineering,Jubail,Technology & IT,Excel Specialist,high
97e7a519046a6e0c,Data Engineer,Devoteam,Riyadh,Technology & IT,Data Engineer,high
83fe078cb5a28e39,UI/UX - Customer Experience (CX) Specialist,CodeNinja,Riyadh,"Creative, Design & Arts",UX Designer,high
a38e6f15e93cce32,Social Media Monitoring Analyst - Project Based,Lucidya,Riyadh,"Marketing, Advertising & PR",Social Media Monitoring Analyst,high
134b8368232b55ab,Engineering Consultant,aramcoservices,Saudi Arabia,Engineering,Process Modeling Specialist,high
849baffb0f0b6f54,Engineering Consultant,Aramco,Saudi Arabia,Engineering,Process Modeling Specialist,high
c99b37b12ff99127,Production Specialist ( Saudi Nationals ),Lenovo,Riyadh,Manufacturing & Production,Production Supervisor,high
0d9029049a45382d,Data Engineer,Devoteam Middle East,Riyadh,Technology & IT,Data Engineer,high
c79aa8ecf53fa9bb,Senior Angular Developer (Remote),Qureos Inc,Saudi Arabia,Technology & IT,Frontend Developer,high
4dd0cbeedd295adf,Field Service Engineer,Schneider Electric,Riyadh,Engineering,Field Service Engineer,high
55c1da571b2d4cc1,IT Support Specialist,Veeam Software,Riyadh,Technology & IT,IT Support Specialist,high
4125370e746b84d6,Customer Development Consultant,Unilever,Riyadh,Sales & Business Development,Business Development Manager,medium
bd0b5b091448fa83,مهندس تخطيط أول / senior planning engineer,Ladun,Riyadh,Engineering,Planning Engineer,high
c45ede35023a31d5,Senior Director - Enterprise Architecture,Qiddiya Investment Company,Riyadh,Technology & IT,Enterprise Architect,high
acee32b2f7ebb71f,Project and Facilities Engineer,Haji Husein Alireza & Co.,Jeddah,Construction & Architecture,Contract Administrator,high
6ee1ebcea38035b1,Assistant Manager - Data & AI Architect,Qiddiya Investment Company,Riyadh,Technology & IT,AI Engineer,high
166d8076e16e64ae,Construction Manager,AECOM,Riyadh,Construction & Architecture,Construction Manager,high
21072c1432d7f3e6,Senior Embedded Software Engineer,Movandi Corporation,Riyadh,Technology & IT,Embedded Software Engineer,high
5ca5d3532b80c6b9,Sales Engineer - Electrical & Instrumentation,AWS Investment Group LLC,Jeddah,Sales & Business Development,Sales Engineer,high
074665baaa40fb03,Automation Test Lead,Infosys,Riyadh,Technology & IT,Automation Test Lead,high
7c0da206d769c87a,Expert GTS/ GRC Solution Advisory,SAP,Riyadh,Sales & Business Development,Solution Advisor,high
88da8c229d37070b,Commercial and CX Graduate Associate,S&P Global,Riyadh,Sales & Business Development,Customer Success Manager,medium
5ac09137e09bf541,Marketing & Tenders Specialist – Middle East Region,Cardinal Health,Riyadh,"Marketing, Advertising & PR",Marketing Manager,high
40a1e816656cdc45,Senior Quantum Algorithm Developer - Optimization Saudi Arabia,Pasqal,Thuwal,Technology & IT,Quantum Algorithm Developer,high
553a43facba3b012,"Senior Systems Software Engineer (Riyadh, KSA)",FileCloud,Riyadh,Technology & IT,Systems Software Engineer,high
9991d7ce6722ee00,Senior Backend Engineer - AI (TypeScript),Salla,Jeddah,Technology & IT,Backend Developer,high
8b42453f43b19dd2,Senior Technical Account Manager - Middle East,Adobe,Riyadh,Customer Success & Account Management,Technical Account Manager,high
c0199cc37c731c1e,Principle Project Manager,Adobe,Riyadh,Consulting & Professional Services,Project Manager,high
f36eefb058186a33,Design Manager (Civils),Mace,Riyadh,Construction & Architecture,Design Manager,high
d33c3f7dfe747a01,Closing & Reporting Manager,Lucidya,Riyadh,Finance & Accounting,Accountant,high
bfc10482367f6520,Client Delivery Specialist (Project Based),Lucidya,Riyadh,Customer Success & Account Management,Project Manager,high
dc0543215e198776,Sr. Customer Success Manager,Lucidya,Riyadh,Customer Success & Account Management,Customer Success Manager,high
fba4653ee2f5c780,Services Sales Manager,SAP,Riyadh,Sales & Business Development,Sales Manager,high
449c2df99da7df5f,Site Engineer,Rider Levett Bucknall,Ha'il,Construction & Architecture,Site Engineer,high
b3c432dcac05ce4b,AI Agent Engineer - AI Agents,Lucidya,Riyadh,Technology & IT,AI Engineer,high
4d3e322b4186946b,Interaction Designer,webook.com,Riyadh,"Creative, Design & Arts",Interaction Designer,high
1ec78de3a8f9c73e,Architect - OpenShift,"Red Hat, Inc.",Riyadh,Technology & IT,Cloud Architect,high
2efb9194daf0d2bf,System Programmer,CleanLife co.,Riyadh,Technology & IT,Software Developer,high
70e4fd4f683c55d7,Site Activation Specialist with Sr.CTA tasks - FSP - Riyadh (hybrid office/home),サイネオス・ヘルス,Riyadh,Healthcare & Medical,Site Activation Specialist,medium
c05ddbbf2e5dccc9,KYC Analyst - Background Screening,Corporate Research and Investigations Limited,Riyadh,Legal & Compliance,Investigative Analyst,high
264a2c3b8aa1636a,Land Surveyor,HanmiGlobal Saudi,Riyadh,Engineering,Land Surveyor,high
8b121fd9e17881a2,Senior Irrigation Engineer,HanmiGlobal Saudi,Riyadh,Engineering,Irrigation Engineer,high
464458ec1f5d449c,Quantity Surveyor,HanmiGlobal Saudi,Riyadh,Construction & Architecture,Quantity Surveyor,high
740564926130311d,SSIS Developer,EndemandIT & Data Solutions LLC,Riyadh,Technology & IT,ETL Developer,high
c43a3e3f3e79d227,Senior QA Automation Engineer,webook.com,Riyadh,Technology & IT,QA Engineer,high
80e7d4e20655c643,Technical Lead,webook.com,Riyadh,Technology & IT,Technical Lead,high
4480f636d33ba378,Senior Data Engineer,webook.com,Riyadh,Technology & IT,Data Engineer,high
db47576ed6b63b5c,Solution Architect,webook.com,Riyadh,Technology & IT,Solution Architect,high
209e6d0bf80cd199,Senior React Native Mobile Engineer,webook.com,Riyadh,Technology & IT,Mobile Developer,high
798177982f91effd,AI Engineer / ML Engineer,Master-Works,Riyadh,Technology & IT,AI Engineer,high
a6321dfc0f214f95,Senior Frontend Engineer,webook.com,Riyadh,Technology & IT,Frontend Developer,high
28645f808503b576,Specialist Software Engineer – Airport Engineering,Vanderlande Industries,Jeddah,Technology & IT,Software Engineer,high
aeeb2822311fd29c,HVAC Project Manager - District Cooling Plant,Dalkia,Riyadh,Engineering,HVAC Engineer,high
795ad34078e218ae,Software Quality Assurance Engineer - AI Agents,Lucidya,Riyadh,Technology & IT,QA Engineer,high
8a081fa6f705a6c9,Senior Data Architect (Project-Based / Contractual),Narsun,Riyadh,Technology & IT,Data Architect,high
0e918af0329d274e,"Production Supervisor – CUSTOMIZED Steel Fabrication, Welding & Painting",SWS-Specialist Welding Services,Dammam,Manufacturing & Production,Production Supervisor,high
0dc6489bd45a0b3a,Senior Data Scientist (Project-Based / Contractual),Narsun,Riyadh,Technology & IT,Data Scientist,high
02015dcb9c0f0dc3,Senior DevOps / Platform Engineer (Project-Based / Contractual),Narsun,Riyadh,Technology & IT,DevOps Engineer,high
a1aae0ed8043f28f,Enterprise Account Executive (Eastern Province Preferred),Commvault,Saudi Arabia,Sales & Business Development,Account Manager,high
5e711e359b10d808,"Junior Full Stack Developer (Part-Time, Remote – in Egypt)",Keden International,Riyadh,Technology & IT,Full Stack Developer,high
19cac53605c66e3e,PMIS Functional Specialist,Parsons,Riyadh,Engineering,Project Manager,medium
9ae821f22616099c,Planning and Project Controls Specialist,AECOM,Riyadh,Construction & Architecture,Project Manager,medium
e282a4d6d5670c77,Compute specialist,Hewlett Packard Enterprise,Riyadh,Technology & IT,IT Support Specialist,medium
accc70b05ad1ff9d,Compute senior sales specialist,Hewlett Packard Enterprise,Riyadh,Sales & Business Development,Account Manager,high
86e3289c5331e3ad,Construction Manager,Parsons,Abha,Construction & Architecture,Construction Manager,high
4de223350eee4a09,Data Management Analyst,Aramco,Saudi Arabia,Technology & IT,Data Management Analyst,high
e7e5693576c25ef4,Communications Specialist,Aramco,Saudi Arabia,Media & Communications,Communications Specialist,high
30dde2a5cf7039ab,Data Management Analyst,aramcoservices,Saudi Arabia,Technology & IT,Data Management Analyst,high
c38405108c5ac2f4,Executive Director – PMCM Services,KEO International Consultants,Riyadh,Construction & Architecture,Project Manager,medium
1f01dcdc6a273530,Device & Telco Security Specialist,VaporVM,Riyadh,Technology & IT,Cybersecurity Analyst,high
a9d799db475a23ec,National Sales Manager - Pharmaceuticals,Excel Career Solutions,Riyadh,Sales & Business Development,National Sales Manager,high
822a586366df1d75,Manager Strategic Analytics & Insights,NielsenIQ,Jeddah,"Marketing, Advertising & PR",Market Research Analyst,high
190992afccc7ab04,Senior Data Analyst (Project-Based / Contractual),Narsun,Riyadh,Technology & IT,Data Analyst,high
2b224c86fa52f532,GIS Analyst (Saudi National),Parsons,Riyadh,Technology & IT,GIS Analyst,high
4117fe715390e809,Senior Cortex XDR Engineer - Level 3 Support - Saudi Nationals,DeepSource Technologies,Riyadh,Technology & IT,Cybersecurity Analyst,high
92616a84fa38156b,Incident & Problem Management,DXC Technology,Riyadh,Technology & IT,ITIL Specialist,high
11f259f83307fc56,Field Service Engineer,ABB,Riyadh,Engineering,Field Service Engineer,high
f1f83f9ca446551c,Telco Cloud Consultant,"Red Hat, Inc.",Riyadh,Technology & IT,Cloud Engineer,high
0b6ad87c1baf1e5b,CX Solution Advisor Senior Specialist,SAP,Riyadh,Customer Success & Account Management,Customer Success Manager,high
021c782060186b3e,IT & Security Engineer (RE),Innovative Solutions,Riyadh,Technology & IT,IT Security Engineer,high
72140bcddd5ea9c7,Data Scientist,Aramco,Saudi Arabia,Technology & IT,Data Scientist,high
f54a98dc837c32f3,HSE Department Manager,Parsons,Abha,Other,HSE Manager,high
316277ebc9cdcaf8,Data Scientist,aramcoservices,Saudi Arabia,Technology & IT,Data Scientist,high
57b8e4f4ee26abef,"Capacity Configuration Analyst, AMET Space Management",Afaq - Warehouse Branch - J02,Jeddah,"Logistics, Supply Chain & Procurement",Capacity Configuration Analyst,high
3a2567de3e0f05e7,Senior Engineer - Structural,AECOM,Saudi Arabia,Engineering,Structural Engineer,high
84452ca2c4d69674,Controls Project Engineer – Airport Engineering,Vanderlande Industries,Jeddah,Engineering,Controls Project Engineer,high
ed8863f5bc444531,MLOps Engineer,Master-Works,Riyadh,Technology & IT,MLOps Engineer,high
f7d3b07af3a92fdf,Supply Chain Solution Advisor (One-Year Fixed-Term Renewable Contract),SAP,Riyadh,"Logistics, Supply Chain & Procurement",Supply Chain Consultant,high
764b334a85a61939,Senior Architect,Consol Group,Riyadh,Construction & Architecture,Architect,high
